Sequence ID,Site ID,Location,Serotype,Source,Specific Date of Isolation,GenBank Accession,Year of Isolation,,
2011EL-2319,Anse-à-Galets:La_Gonave:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,10/11/2011,SRX249382,2011,,
2011EL-2314H,Aquin:Sud:Haiti,Haiti,V. cholerae O1 OGET,C,9/2/2011,SRX249335,2011,,
2011EL-2315,Aquin:Sud:Haiti,Haiti,V. cholerae O1 OGET,C,9/2/2011,SRX249353,2011,,
2011EL-2316,Aquin:Sud:Haiti,Haiti,V. cholerae O1 OGET,C,9/2/2011,SRX249364,2011,,
HC-40A1,Arcahaie:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030718,2010,,
HC-72A2,Arcahaie:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA036000,2010,,
12129(1),Australia,Australia,V. cholerae O1 INET,E,1/1/1985,ACFQ00000000,1985,,
BX330286,Australia,Australia,V. cholerae O1 INET,E,1/1/1986,ACIA00000000,1986,,
623-39,Bangladesh,Bangladesh,V. cholerae Non-O1/O139,E,1/1/2002,AAWG00000000,2002,,
AM-19226,Bangladesh,Bangladesh,V. cholerae O39,C,1/1/2001,AATY01000000,2001,,
CIRS101,Bangladesh,Bangladesh,V. cholerae O1 INET,C,1/1/2002,ACVW00000000,2002,,
CP1048,Bangladesh,Bangladesh,V. cholerae O1 OGET,C,1/1/2010,SRA037369,2010,,
CP1050,Bangladesh,Bangladesh,V. cholerae O1 El Tor,C,1/1/2010,SRX067381,2010,,
MZO-2,Bangladesh,Bangladesh,V. cholerae O14,C,1/1/2001,AAWF01000000,2001,,
MZO-3,Bangladesh,Bangladesh,V. cholerae O37,C,1/1/2001,AAUU01000000,2001,,
N16961,Bangladesh,Bangladesh,V. cholerae O1 INET,C,1/1/1975,AE003852-3,1975,,
vc-1,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,7/30/2010,SRX082797,2010,,
vc-10,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082841,2010,,
vc-13,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082938,2010,,
vc-14,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082939,2010,,
vc-16,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/8/2010,SRX082941,2010,,
vc-17,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/31/2010,SRX082942,2010,,
vc-18,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/31/2010,SRX082943,2010,,
vc-2,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,7/30/2010,SRX082833,2010,,
vc-3,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082834,2010,,
vc-4,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082835,2010,,
vc-5,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082836,2010,,
vc-6,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082837,2010,,
vc-7,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082838,2010,,
vc-8,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082839,2010,,
vc-9,Banke_district:Nepalgunj_municipality,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082840,2010,,
2011EL-1133,Bassin_Bleu:Nord-Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/26/2011,SRX249469,2011,,
HC-23A1,Bassin_Bleu:Nord-Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030719,2010,,
B33,Beira:Mozambique,Mozambique,V. cholerae O1 OGET,C,6/26/1905,ACHZ00000000,2004,,
2010EL-2026,Bon_Samaritain_Hospital:Cazale:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,11/9/2010,SRX249015,2010,,
CT 5369-93,Brazil,Brazil,V. cholerae Non-O1/O139,S,6/15/1905,ADAL00000000,1993,,
TM11079-80,Brazil,Brazil,V. cholerae O1 OGET,S,2/6/1905,ACHW00000000,1980,,
TMA21,Brazil,Brazil,V. cholerae Non-O1/O139,E,4/6/1905,ACHY00000000,1982,,
2010EL-1749,Cameroon,Cameroon,V. cholerae O1 OGET,C,1/1/2010,SRX249463,2010,,
2010EL-1961,Cange:Centre:Haiti,Haiti,V. cholerae O1 OGET,C,10/19/2010,SRX249464,2010,,
HE-09,Cange:Centre:Haiti,Haiti,V. cholerae Non-O1/O139,E,1/1/2010,SRA030714,2010,,
HE-39,Cange:Centre:Haiti,Haiti,V. cholerae Non-O1/O139,E,1/1/2010,SRA030720,2010,,
HE-40,Cange:Centre:Haiti,Haiti,V. cholerae Non-O1/O139,E,1/1/2010,SRA037283,2010,,
HE-46,Cange:Centre:Haiti,Haiti,V. cholerae Non-O1/O139,E,1/1/2010,SRA046084,2010,,
HE-48,Cange:Centre:Haiti,Haiti,V. cholerae Non-O1/O139,E,1/1/2010,SRA030715,2010,,
MAK757,Celebes_Islands,Indonesia,V. cholerae O1 OGET,C,1/1/1937,AAUS00000000,1937,,
2011EL-2322,Centre_Hospitalier_de_Pernier:Pernier:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,10/12/2011,SRX249394,2011,,
RC385,Cheasapeake_bay:USA,USA,V. cholerae O135,E,1/1/1998,AAKH02000000,1998,,
2011EL-1300,Cholera_Treatment_Center:Les_Cayes:Sud:Haiti,Haiti,V. cholerae O1 OGET,C,2/12/2011,SRX249313,2011,,
2011EL-2321,Cholera_Treatment_Center:Oriani:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,10/12/2011,SRX249393,2011,,
2011EL-1818,Cholera_Treatment_Center:Tabarre:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,6/6/2011,SRX249314,2011,,
HC-38A1,Croix-des-Bouquets:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030739,2010,,
HC-61A1,Croix-des-Bouquets:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030716,2010,,
HC-61A2,Croix-des-Bouquets:Ouest:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA045873,2010,,
HC-78A1,Croix-des-Bouquets:Ouest:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA035966,2010,,
vc-12,Dang_Deokhuri_district:Narayanpur_VDC,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082843,2010,,
vc-15,Dang_Deokhuri_district:Narayanpur_VDC,Nepal,V. cholerae O1 OGET,C,8/8/2010,SRX082940,2010,,
2011EL-2323,Departement_Sanitaire_du_Sud_Est:Sud_Est:Haiti,Haiti,V. cholerae O1 OGET,C,10/12/2011,SRX249405,2011,,
HC-7A1,Dessalines:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035959,2010,,
2011V-1021,Dominican_Republic,Dominican_Republic,V. cholerae O1 OGET,C,1/30/2011,SRX249662,2011,,
2012V-1060,Florida:Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae NAG,C,6/11/2012,SRX249409,2012,,
HC-17A1,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA046087,2010,,
HC-28A1,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035987,2010,,
HC-77A1,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA046088,2010,,
2011EL-2317,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,9/20/2011,SRX249365,2011,,
2011EL-2318,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,9/12/2011,SRX249366,2011,,
2011EL-2320,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/11/2011,SRX249390,2011,,
2012EL-1410,Gonaïves:Artibonite:Haiti,Haiti,V. cholerae O1 INET,C,3/13/2012,SRX249408,2012,,
HC-41B1,Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA046401,2010,,
HCAE1786,Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,AELH01000000,2010,,
HCAE1792,Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,AELJ01000000,2010,,
HCAE1798,Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,AELI01000000,2010,,
2009V-1096,India,India,V. cholerae O1 INET,C,1/1/2010,SRX249431,2009,,
2009V-1131,India,India,V. cholerae O1 OGET,C,1/1/2009,SRX249462,2009,,
3500-05,India,India,V. cholerae O1 INET,C,1/1/2005,SRX249663,2005,,
3546-06,India,India,V. cholerae O1 INET,C,1/1/2006,SRX249690,2006,,
O395,India,India,V. cholerae O1 OGCL,C,1/1/1965,CP000626-7,1965,,
2009V-1085,India/Sri_Lanka,India,V. cholerae O1 OGET,C,1/1/2009,SRX249422,2009,,
RC27,Indonesia,Indonesia,V. cholerae O1 ET,C,1/1/1991,ADAI00000000,1991,,
vc-11,Kailali_district:Dhangadhi,Nepal,V. cholerae O1 OGET,C,8/1/2010,SRX082842,2010,,
vc-19,Kathmandu_district:Kathmandu_city,Nepal,V. cholerae O1 OGET,C,8/15/2010,SRX082944,2010,,
vc-20,Kathmandu_district:Kathmandu_city,Nepal,V. cholerae O1 OGET,C,11/1/2010,SRX082945,2010,,
RC9,Kenya,Kenya,V. cholerae O1 OGET,C,1/1/1985,ACHX00000000,1985,,
2011EL-1941,Kolkata:West_Bengal:India,India,V. cholerae O1 OGET,C,1/1/2010,SRX298945,2010,,
1587,Lima:Peru,Peru,V. cholerae O12,C,1/1/1994,AAUR01000000,1994,,
MO10,Madras:India,India,V. cholerae O139,C,1/1/1992,AAKF03000000,1992,,
VL426,Maidstone:Kent:UK,UK,V. cholerae Non-O1/O139,E,1/1/2010,ACHV00000000,2010,,
M66-2,Makassar:Indonesia,Indonesia,V. cholerae O1,C,1/1/1937,CP001233-4,1937,,
MJ-1236,Matlab:Bangladesh,Bangladesh,V. cholerae O1 INET,C,1/1/1994,CP001485-6,1994,,
2011EL-1841,Medecins_Sans_Frontieres:_Carrefour:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,6/9/2011,SRX249334,2011,,
CP1032,Mexico,Mexico,V. cholerae O1 OGET,C,1/1/1991,SRA037376,1991,,
INDRE 91/1,Mexico,Mexico,V. cholerae O1 INET,C,1/1/1991,ADAK00000000,1991,,
2010EL-2010H,Montrouis:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,11/3/2010,SRX249465,2010,,
2010EL-2010N,Montrouis:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,11/3/2010,SRX249466,2010,,
HC-70A1,Montrouis:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA037382,2010,,
3554-08,Nepal,Nepal,V. cholerae O1 OGET,C,1/1/2008,SRX249691,2008,,
2011EL-1938,Orissa:India,India,V. cholerae O1 OGET,C,1/1/2009,SRX298898,2009,,
2009V-1046,Pakistan,Pakistan,V. cholerae O1 OGET,C,1/1/2009,SRX249421,2009,,
2009V-1116,Pakistan,Pakistan,V. cholerae O1 OGET,C,1/1/2009,SRX249461,2009,,
2010V-1014,Pakistan,Pakistan,V. cholerae O1 OGET,C,1/1/2010,SRX249467,2010,,
3582-05,Pakistan,Pakistan,V. cholerae O1 INET,C,1/1/2005,SRX249692,2005,,
C6706,Peru,Peru,V. cholerae O1 INET,C,1/1/1991,SRX249693,1991,,
HC-32A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035998,2010,,
HC-33A2,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035995,2010,,
HC-36A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA035976,2010,,
HC-43A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030737,2010,,
HC-48A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030742,2010,,
HC-48B2,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035993,2010,,
HC-49A2,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030717,2010,,
HC-50A2,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA046626,2010,,
HC-55C2,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA046086,2010,,
HC-59A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA045689,2010,,
HC-60A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA046381,2010,,
HC-62A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA046089,2010,,
HC-64A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035979,2010,,
HC-65A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035971,2010,,
HC-67A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035983,2010,,
HC-68A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035984,2010,,
HC-71A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035981,2010,,
HC-80A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035982,2010,,
HC-81A1,Port-au-Prince:Ouest:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035973,2010,,
vc-21,Rupandehi_district:Butawal_municipality,Nepal,V. cholerae O1 OGET,C,8/30/2010,SRX082946,2010,,
vc-22,Rupandehi_district:Butawal_municipality,Nepal,V. cholerae O1 OGET,C,8/30/2010,SRX082947,2010,,
vc-25,Rupandehi_district:Butawal_municipality,Nepal,V. cholerae O1 OGET,C,8/30/2010,SRX082948,2010,,
vc-26,Rupandehi_district:Butawal_municipality,Nepal,V. cholerae O1 OGET,C,8/30/2010,SRX082949,2010,,
2010EL-1786,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/19/2010,SRX031665,2010,,
2010EL-1792,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/20/2010,SRX032204,2010,,
HC-06A1,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA037376,2010,,
HC-19A1,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035994,2010,,
HC-1A2,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA030738,2010,,
HC-21A1,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035997,2010,,
HC-22A1,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA035991,2010,,
HC-2A1,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae Non-O1/O139,C,1/1/2010,SRA030736,2010,,
HCUF01,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030713,2010,,
HFU-02,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,1/1/2010,SRA030741,2010,,
2010EL-1787,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/20/2010,SRX248208,2010,,
2010EL-1788,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/20/2010,SRX248274,2010,,
2010EL-1791,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/20/2010,SRX248275,2010,,
2010EL-1795,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/19/2010,SRX248280,2010,,
2010EL-1796,Saint-Marc:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/20/2010,SRX248403,2010,,
2011EL-1141,Samangan:Afghanistan,Afghanistan,V. cholerae O1 OGET,C,1/1/2008,SRX298934,2008,,
NCTC 8457,Saudi_Arabia,Saudi_Arabia,V. cholerae O1 INET,C,1/1/1910,AAWD01000000,1910,,
2011EL-1137,South_Africa,South_Africa,V. cholerae O1 OGET,C,1/1/2009,SRX249661,2009,,
2010EL-1798,St._Nicholas_Hospital:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/21/2010,SRX032202,2010,,
2010EL-1799,St._Nicholas_Hospital:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/21/2010,SRX248599,2010,,
2010EL-1801,St._Nicholas_Hospital:Artibonite:Haiti,Haiti,V. cholerae O1 OGET,C,10/21/2010,SRR772254,2010,,
2011EL-1089,Sud:Haiti,Haiti,V. cholerae O1 OGET,C,11/27/2010,SRX249468,2010,,
V52,Sudan,Sudan,V. cholerae O37,C,1/1/1968,AAKJ02000000,1968,,
2011EL-1939,Sundarban:West_Bengal:India,India,V. cholerae O1 OGET,C,1/1/2009,SRX298922,2009,,
CP1042,Thailand,Thailand,V. cholerae O1 OGET,C,1/1/2010,SRA037382,2010,,
2012V-1001,United_States_(Travel_to_Benin),USA,V. cholerae O1 OGET,C,1/1/2011,SRX298948,2011,,
2740-80,US_Gulf_Coast,USA,V. cholerae O1 INET,E,1/1/1980,AAUT01000000,1980,,
V51,USA,USA,V. cholerae O141,C,1/1/1987,AAKI02000000,1987,,
CP1041,Zambia,Zambia,V. cholerae O1 OGET,C,1/1/2004,SRA037374,2004,,
CP1038,Zimbabwe,Zimbabwe,V. cholerae O1 OGET,C,1/1/2009,SRA037375,2009,,
